,names,years,locs,countries
523,Third Schweidnitz,1762,Swidnica,Poland
524,Borgo,1768,Borgo,France
525,Cracow,1768,Krakow,Poland
526,Ponte Nuovo,1769,Castello-di-Rostino,France
527,Bucharest,1769,Bucharest,Romania
528,Jassy,1769,lagi,Romania
529,Landskron,1771,Langkroun Czech,Rep
530,Kozludji,1774,Kozloduy(Shumen) ,Bulgaria
531,Silistra,1774,Silistra,Bulgaria
532,Varna,1774,Varna,Bulgaria
533,Nachod,1778,Nachod ,Czechia
534,Westminster,1780,London,England
535,Campeni,1784,Caémpeni,Romania
536,Jassy,1788,lagi,Romania
537,Karansebes,1788,Caransebes,Romania
538,Turnhout,1789,Turnhout,Belgium
539,Bastille,1789,Paris,France
540,Foscani,1789,Focgani,Romania
541,Martinesti,1789,Ramnicu Sarat,Romania
542,Mehadia,1789,Mehadia,Romania
543,Belgrade,1789,Belgrade,Serbia
544,Champs de Mars,1791,Paris,France
545,Brussels,1792,Brussels,Belgium
546,Jemappes,1792,Jemappes,Belgium
547,Tuileries Palace,1792,Paris,France
548,Valmy,1792,Valmy,France
549,Menin,1793,Menen,Belgium
550,Neerwinden,1793,Neerwinden,Belgium
551,Chantonnay,1793,Chantonnay,France
552,Chatillon-sur-Sevre,1793,Mauléon,France
553,Cholet,1793,Cholet,France
554,Entrammes,1793,Entrammes,France
555,First Angers,1793,Angers,France
556,Fontenay-le-Comte,1793,Fontenay-le-Comte,France
557,Froschwiller,1793,Froeschwiller,France
558,Geisberg,1793,Wissembourg,France
559,Granville,1793,Granville,France
560,Hondschoote,1793,Hondschoote,France
561,Le Mans,1793,Le Mans,France
562,Maubeuge,1793,Maubeuge,France
563,Nantes,1793,Nantes,France
564,Saumur,1793,Saumur,France
565,Savenay,1793,Savenay,France
566,Second Angers,1793,Angers,France
567,Valenciennes (Famacs),1793,Valenciennes (Famacs),France
569,Wattignies,1793,Wattignies-la-Victoires,France
571,Kaiserslautern,1793,Kaiserslautern,Germany
572,Charleroi,1794,Charleroi,Belgium
573,Erquelinnes,1794,Erquelinnes,Belgium
574,Fleurus,1794,Fleurus,Belgium
575,Tournai,1794,Tournai,Belgium
576,Lambusart,1794,Lambersart,France
577,Le Cateau (Troisvilles),1794,Beaumont-en-Cambrésis (Troisvilles),France
579,Saorgio,1794,Saorge,France
580,Tourcoing,1794,Tourcoing,France
581,Cracow,1794,Krakow,Poland
582,Kobilka,1794,Kobilka,Poland
583,Krupshchitse,1794,Krupezyce,Poland
584,Maciejowice,1794,Jacigjowice,Poland
585,Raclawice,1794,Raclawice (Miechéw),Poland
586,Szcezekrina,1794,Szezekociny,Poland
587,‘Warsaw,1794,Warsaw,Poland
588,Campmany,1794,Capmany,Spain
589,Paris,1795,Paris,France
590,Quiberon,1795,Quiberon,France
591,Mainz,1795,Mainz,Germany
592,Mannheim,1795,Mannheim,Germany
593,Loano,1795,Loano,Italy
594,Amberg,1796,Amberg,Germany
595,Biberach,1796,Biberach,Germany
596,Malsch,1796,Malsch,Germany
597,Neresheim,1796,Neresheim,Germany
598,Uckerath,1796,Bonn,Germany
599,Wetzlar,1796,Wetzlar,Germany
600,Wurzberg,1796,Wurzburg,Germany
601,Arcola,1796,Arcole,Italy
602,Bassano,1796,Bassano del Grappa_,Italy
603,Borghetto,1796,Valeggio sul Mincio,Italy
604,Bridge of Lodi,1796,Lodi,Italy
605,Caldiero,1796,Caldiero,Italy
606,Calliana,1796,Calliano,Italy
607,Castiglione,1796,Castiglione delle Stiviere,Italy
609,Cembra,1796,Cembra,Italy
610,Dego,1796,Dego,Italy
611,Lonato,1796,Lonato del Garda,Italy
612,Mantua,1796,Mantova,Italy
613,Milan,1796,Milan,Italy
614,Montenotte,1796,Cairo Montenotte,Italy
615,Roveredo,1796,Roveredo,Switzerland
616,Diersheim,1797,Rheinau,Germany
617,Lahn (Neuwied),1797,Neuwied,Germany
618,La Favorita,1797,Mantua,Italy
619,Malborghetto (Tarvis),1797,Tarvisio (Tarvis),Italy
621,Rivoli,1797,Rivoli Veronese,Italy
622,Arklow,1798,Arlkow,Ireland
623,Ballymore,1798,Ballymore Eustace,Ireland
624,Ballynamuck,1798,Ballinamuck,Ireland
625,Castlebar,1798,Castlebar,Ireland
626,Enniscorthy,1798,Enniscorthy,Ireland
627,Granard,1798,Granard,Ireland
628,Killala,1798,Killala,Ireland
629,Longford,1798,Longford,Ireland
630,New Ross,1798,New Ross,Ireland
631,Scullabogue,1798,New Ross,Ireland
632,Vinegar Hill,1798,Enniscorthy,Ireland
633,Civita Castellana,1798,Civita Castellana,Italy
634,Rome,1798,Rome,Italy
635,Malta,1798,Valletta,Malta
636,Valletta,1798-1800,Valletta,Malta
637,Feldkirch,1799,Feldkirch,Austria
638,Nauders,1799,Nauders,Austria
639,Ostrach,1799,Ostrach,Germany
640,Stockach,1799,Stackach,Germany
641,Capri,1799,Capri (City),Italy
642,Capua,1799,Capua,Italy
643,Cassano,1799,Cassano d’Adda,Italy
644,First Milan,1799,Milan,Italy
645,Genola,1799,Genola,Italy
646,Magnano,1799,Castell d’Azzano,Italy
647,Mantua,1799,Mantova,Italy
648,Naples,1799,Naples,Italy
649,Novi,1799,Novi Ligure,Italy
650,Peschiera,1799,PeschieradelGarda,Italy
651,Tauffers,1799,Taufers im Munstertal,Italy
652,Trebbia,1799,Piacenza,Italy
653,Turin,1799,Turin,Italy
654,First Bergen,1799,Bergen,Netherlands
655,Groet Keeten (Texel),1799,Callantsoog (Texel),Netherlands
657,Kastrikum,1799,Castricum,Netherlands
658,Second Bergen,1799,Alkmaar,Netherlands
660,Zyper-Sluis,1799,Camperduin,Netherlands
661,Chur,1799,Chur,Switzerland
